127.0.0.1 - - [06/Mar/2016:13:39:52 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:39:54 +0800] "GET /xuetuWeb/ HTTP/1.1" 200 4267
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:39:54 +0800] "GET /xuetuWeb/Style/skin.css HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:39:54 +0800] "GET /xuetuWeb/Images/icon_demo.gif HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:39:54 +0800] "GET /xuetuWeb/Images/xuetulogo.png HTTP/1.1" 200 25273
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:39:54 +0800] "GET /xuetuWeb/Images/login_top_bg.gif HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:39:54 +0800] "GET /xuetuWeb/Images/login_bg.jpg HTTP/1.1" 200 20754
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:39:54 +0800] "GET /xuetuWeb/Images/login_content_bg.gif HTTP/1.1" 200 20202
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:40:29 +0800] "GET /xuetuWeb/ HTTP/1.1" 200 4267
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:40:29 +0800] "GET /xuetuWeb/Style/skin.css HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:40:29 +0800] "GET /xuetuWeb/Images/xuetulogo.png HTTP/1.1" 200 25273
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:40:29 +0800] "GET /xuetuWeb/Images/icon_demo.gif HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:40:29 +0800] "GET /xuetuWeb/Images/login_top_bg.gif HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [06/Mar/2016:13:40:29 +0800] "GET /xuetuWeb/Images/login_bg.jpg HTTP/1.1" 200 20754
